Timestamp_Sec, Timestamp_Nsec, Formatted_Time, Radar_Epoch_Time, Obj_ID, Dist_X, Dist_Y, RCS, Range, Vectorsize, Dynamicproperty, Orientation, Objectsize, objectscore
1205,709534160,2024-02-02 11:52:13.709534160,1706854933709534160,1,6.35395,-0.430311,-2.85043,6.36851,4,1,0,0.0412415,1
1205,782806640,2024-02-02 11:52:13.782806640,1706854933782806640,1,6.2624,-0.393689,-3.02133,6.27476,1,1,0,0.995915,1
1205,782806640,2024-02-02 11:52:13.782806640,1706854933782806640,1,6.2624,-0.393689,-3.02133,6.27476,2,1,0,0.0237665,1
1205,782806640,2024-02-02 11:52:13.782806640,1706854933782806640,1,6.2624,-0.393689,-3.02133,6.27476,3,1,0,0.0401611,1
1205,856750160,2024-02-02 11:52:13.856750160,1706854933856750160,1,6.2624,-0.393689,-3.06406,6.27476,1,1,0,0.997437,1
1205,856750160,2024-02-02 11:52:13.856750160,1706854933856750160,1,6.2624,-0.393689,-3.06406,6.27476,2,1,0,0.0401378,1
1205,856750160,2024-02-02 11:52:13.856750160,1706854933856750160,1,6.2624,-0.393689,-3.06406,6.27476,3,1,0,0.0814352,1
1205,932559760,2024-02-02 11:52:14.932559760,1706854934932559760,0,10.8676,-2.57271,-7.64794,11.168,1,1,0,0.0719211,0.26
1205,932559760,2024-02-02 11:52:14.932559760,1706854934932559760,1,6.27155,-0.357067,-3.01218,6.28171,2,1,0,0.997438,1
1205,932559760,2024-02-02 11:52:14.932559760,1706854934932559760,1,6.27155,-0.357067,-3.01218,6.28171,3,1,0,0.07343,1
1205,932559760,2024-02-02 11:52:14.932559760,1706854934932559760,1,6.27155,-0.357067,-3.01218,6.28171,4,1,0,0.0693086,1
1205,932559760,2024-02-02 11:52:14.932559760,1706854934932559760,1,6.27155,-0.357067,-3.01218,6.28171,5,1,0,0.0414161,1
1206,13560120,2024-02-02 11:52:14.13560120,1706854934013560120,1,6.27155,-0.357067,-3.10678,6.28171,1,1,0,0.997438,1
1206,13560120,2024-02-02 11:52:14.13560120,1706854934013560120,1,6.27155,-0.357067,-3.10678,6.28171,2,1,0,0.122327,1
1206,87638880,2024-02-02 11:52:14.87638880,1706854934087638880,1,6.27155,-0.357067,-3.11594,6.28171,1,1,0,0.997438,0.99
1206,87638880,2024-02-02 11:52:14.87638880,1706854934087638880,1,6.27155,-0.357067,-3.11594,6.28171,2,1,0,0.156171,0.99
1206,162708640,2024-02-02 11:52:14.162708640,1706854934162708640,1,6.27155,-0.320444,-3.03964,6.27973,1,1,0,0.995915,0.99
1206,162708640,2024-02-02 11:52:14.162708640,1706854934162708640,1,6.27155,-0.320444,-3.03964,6.27973,2,1,0,0.343868,0.99
1206,162708640,2024-02-02 11:52:14.162708640,1706854934162708640,1,6.27155,-0.320444,-3.03964,6.27973,3,1,0,0.0127133,0.99
1206,237165140,2024-02-02 11:52:14.237165140,1706854934237165140,0,10.8768,-2.56355,-9.7354,11.1748,1,1,0,0.094847,0.26
1206,237165140,2024-02-02 11:52:14.237165140,1706854934237165140,1,6.24409,-0.302133,-2.86264,6.25139,2,1,0,0.997438,1
1206,237165140,2024-02-02 11:52:14.237165140,1706854934237165140,1,6.24409,-0.302133,-2.86264,6.25139,3,1,0,0.0115258,1
1206,237165140,2024-02-02 11:52:14.237165140,1706854934237165140,1,6.24409,-0.302133,-2.86264,6.25139,4,1,0,0.805564,1
1206,237165140,2024-02-02 11:52:14.237165140,1706854934237165140,1,6.24409,-0.302133,-2.86264,6.25139,5,1,0,0.059117,1
1206,311669160,2024-02-02 11:52:14.311669160,1706854934311669160,1,6.24409,-0.302133,-2.8016,6.25139,1,1,0,0.995915,0.99
